url,origin,origin_name,name,description,ingredients,made_from,image
http://www.wikidata.org/entity/Q12162645,España,España,Diacitrón,,,,
http://www.wikidata.org/entity/Q8962920,España,España,Frutas de Aragón,dulce tradicional de Aragón,"fruta confitada, chocolate",,
http://www.wikidata.org/entity/Q60762918,España,España,Paelya,variante filipina de la paella,,,
http://www.wikidata.org/entity/Q703836,España,España,arroz con pollo,plato típico de América Latina y España,"carne de pollo, arroz",,
http://www.wikidata.org/entity/Q1968771,España,España,Olla podrida,,Pork and beans,,
http://www.wikidata.org/entity/Q20546828,España,España,Pan de Ousá,"pan tradicional de Galicia, España",,,
http://www.wikidata.org/entity/Q6024500,España,España,Morteruelo,Higado de cerdo especias y pan rallado,,,
http://www.wikidata.org/entity/Q11278637,España,España,arrope y calabazate,plato murciano,,,
http://www.wikidata.org/entity/Q7367597,España,España,roscón,,,,
http://www.wikidata.org/entity/Q131749283,España,España,Japonés (bollo),bollo tradicional almeriense que lleva coco rallado,"falsa crema pastelera, bollo, coco rallado",,
http://www.wikidata.org/entity/Q20872372,España,España,Limón serrano,"ensalada de embutidos y cítricos del norte extremeño y sur de Salamanca, en España",,,
http://www.wikidata.org/entity/Q3027539,España,España,Suso,,crema pastelera,,
http://www.wikidata.org/entity/Q85630768,España,España,Juanguila,postre de España,,,
http://www.wikidata.org/entity/Q2892364,España,España,Rebojo,,,,
http://www.wikidata.org/entity/Q5574984,España,España,Medallones de Valjunquera,,,,
http://www.wikidata.org/entity/Q5420610,España,España,potaje,plato con legumbres y verduras,carne,,
http://www.wikidata.org/entity/Q6092760,España,España,Pulte,,,,
http://www.wikidata.org/entity/Q1026488,España,España,Caldo gallego,,,"panceta, chorizo, col blanca, fríjol, Col de meollo, grelo, Lacón, papa",http://commons.wikimedia.org/wiki/Special:FilePath/Caldo%20galego%2C%20Galiza.jpg
http://www.wikidata.org/entity/Q2884589,España,España,bocadillo,tipo de alimento con pan relleno,,,
http://www.wikidata.org/entity/Q891358,España,España,buñuelos de bacalao,especialidad gastronómica mediterránea,,"Bacalao en salazón, papa",http://commons.wikimedia.org/wiki/Special:FilePath/Bolinho%20de%20bacalhau.jpg
http://www.wikidata.org/entity/Q122958910,España,España,Bizcocho de Moya,"Producto de repostería de Canarias, España",,,
http://www.wikidata.org/entity/Q5669841,España,España,almojábana,tipo de fruta de sartén,,,
http://www.wikidata.org/entity/Q28517237,España,España,pijama,"postre catalán y valenciano elaborado con fruta en almíbar, helado y nata","Fruta en almíbar, flan, helado, crema de leche",,
http://www.wikidata.org/entity/Q3044741,España,España,Esqueixada,,"tomate, oliva, aliño, bacalao, Cebolla china, Capsicum annuum",,
http://www.wikidata.org/entity/Q1027884,España,España,calçotada,,,,
http://www.wikidata.org/entity/Q5411101,España,España,Bica,postre,,"mantequilla, harina, huevo de gallina",http://commons.wikimedia.org/wiki/Special:FilePath/Bica%20ribeira%20sacra.JPG
http://www.wikidata.org/entity/Q2891036,España,España,Conejo en salmorejo,,,,
http://www.wikidata.org/entity/Q9055173,España,España,Paparajotes,,,"canela, harina, azúcar glas, huevo",http://commons.wikimedia.org/wiki/Special:FilePath/Paparajotes%20Murcianos%20de%20la%20Abuela.jpg
http://www.wikidata.org/entity/Q6150997,España,España,Tortilla de rodilla,,,,
http://www.wikidata.org/entity/Q6112469,España,España,roscos del Santo,,,,
http://www.wikidata.org/entity/Q2457586,España,España,patatas bravas,tapa típica española,"papa, Salsa brava",,
http://www.wikidata.org/entity/Q2981212,España,España,Cocada,dulce típico de países de habla española y portuguesa,"coco rallado, huevo",,
http://www.wikidata.org/entity/Q1227144,España,España,Intxaursaltsa,"Postre navideño vasco a base de nueces, leche, canela y azúcar.",,"azúcar, nuez, crema de leche, canela, leche de vaca",http://commons.wikimedia.org/wiki/Special:FilePath/Cuisine%20of%20the%20Basque%20Country-Intxaursaltsa%20001.JPG
http://www.wikidata.org/entity/Q5706305,España,España,Arroz con acelgas,plato típico valenciano,"papa, Beta vulgaris var. cicla, arroz",,
http://www.wikidata.org/entity/Q5728279,España,España,Bienmesabe canario,,,,
http://www.wikidata.org/entity/Q6436724,España,España,cremeschnitte,postre de hojaldre,,,
http://www.wikidata.org/entity/Q109424807,España,España,Pan de cristal,pan de alta hidratación,,,
http://www.wikidata.org/entity/Q6112467,España,España,Roscos de vino,,,,
http://www.wikidata.org/entity/Q5663370,España,España,Fardelejos,"dulce de La Rioja, España",,,
http://www.wikidata.org/entity/Q10952583,España,España,Tigretón,,,,
http://www.wikidata.org/entity/Q633615,España,España,bocadillo de calamares,,,,
http://www.wikidata.org/entity/Q9055080,España,España,Panquemado,,,,
http://www.wikidata.org/entity/Q5058734,España,España,Cemita,diferentes panes de Hispanoamérica,,,
http://www.wikidata.org/entity/Q11907497,España,España,bacalao a la llauna,plato típico de los territorios de habla catalana,"ajo, tomate, pimentón, bacalao",,
http://www.wikidata.org/entity/Q2849806,España,España,Angulas a la bilbaína,,,"aceite de oliva, ají, Angula, ajo",http://commons.wikimedia.org/wiki/Special:FilePath/Angulas%20al%20ajillo%2C%20Bilbao%20%2832941326932%29.jpg
http://www.wikidata.org/entity/Q2633627,España,España,Puchero,plato tradicional iberoamericano,,,
http://www.wikidata.org/entity/Q9034677,España,España,Montadito,sándwich típico español,,,
http://www.wikidata.org/entity/Q121157575,España,España,gazpacho de segadores,variedad del gazpacho con pocos ingredientes,,,
http://www.wikidata.org/entity/Q597836,España,España,Bacalao a la vizcaína,,"Salsa vizcaína, bacalao",,
http://www.wikidata.org/entity/Q6059375,España,España,Pan de Calatrava,,,,
http://www.wikidata.org/entity/Q6077023,España,España,Pitufo (Málaga),Bollos de pan de pequeño tamaño original de la región de Málaga,,,
http://www.wikidata.org/entity/Q5022901,España,España,callos,,tripas,,
http://www.wikidata.org/entity/Q108545863,España,España,Llonguet,pan de origen catalán,,,
