id,Nombre,URL,Ingredientes,Pasos,country,Duracion,Porciones,Calorias,Categoria,Contexto,Valoracion y Votos,Comensales,Tiempo,Dificultad,Categoria 2,Unnamed: 16,Unnamed: 17,Unnamed: 18,temperature
149,POLLO AL VINAGRE BALSAMICO CON PIMIENTOS,https://www.yanuq.com/,"2 pimientos verdes, grandes, sin venas y cortados en tiras,2 pimientos rojos, grandes, sin venas y cortados en tiras,2 cucharadas de aceite de oliva,1/3 de taza de pasas sin semilla,¼ de taza de vinagre balsámico,1 ½ cucharadita de azúcar,Sal,Pimienta,¼ de taza de nueces de Brasil o almendras en láminas, tostadas,6 filetes de pechugas de pollo, deshuesadas, sin piel,6 cucharadas cucharadas de pan tostado molido,3 cucharadas de queso parmesano, rallado,¼ de taza de harina,2 claras, ligeramente batidas,2 cucharadas de aceite vegetal,2 cucharadas de vinagre balsámico,2 cucharadas de agua"," Calentar el aceite de oliva en una sartén a fuego medio. Agregar los pimientos y cocinarlos por 8 minutos, aproximadamente. Agregar las pasas y revolver 1 minuto. Agregar ¼ de taza de vinagre balsámico, el azúcar, sal y pimienta y cocinar 1 minuto más. Retirar del fuego y agregar las nueces de Brasil o almendras. Reservar y mantener tibio.

Colocar los filetes de pechuga entre 2 plásticos y aplanar golpeando con un mazo. Mezclar las migas de pan con el queso rallado en un plato y colocar la harina en otro plato. Pasar los filetes de pechuga por la harina, luego por las claras y por último por el pan tostado molido.
Calentar 2 cucharadas de aceite vegetal en una sartén antiadherente y agregar el pollo. Cocinar por ambos lados hasta que esté cocido. Retirar del fuego.
Colocar los filetes de pollo y la salsa de pimientos en una fuente de servir y mantener caliente. 
Agregar 2 cucharadas de vinagre y agua a la sartén y con una cuchara de madera desprender los residuos. Echar este jugo sobre las pechugas y mezcla de pimientos.
Calorías 418
Proteínas 32.43 gr.
Grasas 25.62 gr.
Carbohidratos 68.69 gr.
",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Alto en fibra",,,,original
167,POSTRE DE GALLETAS OREO,https://www.yanuq.com/,"Galletas Oreo rellenas o similar, trituradas,Helado de vainilla,Salsa Butterscotch"," Forrar el fondo y los costados de un molde con film plástico o papel aluminio. Colocar una capa de galletas Oreo trituradas en fondo de 1 cm de grosor, aproximadamente.
Rellenar con helado de vainilla 3 cm de alto.
Tapar con otra capa de galletas Oreo desmenuzadas, cubriendo completamente el helado. Presionar ligeramente y tapar. Llevar al congelador hasta que esté duro.
Desmoldar en una fuente para servir y retirarle el papel. 
Opcional: Bañar con Salsa Butterscotch.
Se puede hacer en moldes individuales.

Tiempo de Preparación: 15 minutos + 3 horas para congelar.
",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Sin grasas trans",,,,original
173,MANJARBLANCO RAPIDO DE LUCUMA,https://www.yanuq.com/,"4 lúcumas, peladas y sin pepas,Leche, la cantidad necesaria para licuar las lúcumas,¾ de litro (1 lb 10 oz) de manjarblanco, preparado,Crema Chantilly,Marrasquinos"," Licuar o procesar las lúcumas con la cantidad necesaria de leche. Pasar el puré de lúcuma por un colador. Agregar el manjarblanco y mezclar bien.
Colocar en copas individuales.
Decorar con crema chantilly y una cereza marrasquino. Refrigerar por 1 hora.
Tiempo de Preparación: 20 minutos
Tiempo Total: 1 hora 20 minutos
",Peru,,,,,,,,,,"Sin calorías, Sin grasa, Alto contenido de fibra",,,,original
178,FRESAS CON VINO,https://www.yanuq.com/,"1 k (2 pintas) de fresas, medianas, lavadas y limpias,¾ taza de azúcar, o más si lo desea más dulce,¾ de taza de vino (puede ser rojo, blanco o espumante) o al gusto"," Cortar las fresas por mitad o en rebanadas, si fuesen muy grandes.

Espolvorear el azúcar y mezclar. Agregar el vino, mezclar y dejar macerar 10 minutos. No se recomienda marinar más tiempo las fresas porque se aguan.",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Sin azúcar añadida o sin azúcares agregadas",,,,original
189,"PASTA CON CHAMPIÑONES, PORTOBELLO Y CEBOLLA DORADA",https://www.yanuq.com/,"350 g (12 oz) de pasta (farfalle, canuto, caracol etc.),180 g (7 oz) de hongos portobellos, sin tallo, y cortados en láminas delgadas,150 g (5 ½ oz) de champiñones, sin tallo y cortados en láminas delgadas,4 cucharadas de aceite de oliva,Sal,Pimienta,1 cebolla mediana, cortada en rodajas gruesas,¼ de taza de jerez,3 tazas de caldo de pollo,2 cucharaditas de tomillo fresco o 1 cucharadita de tomillo seco, picado,Tabasco, al gusto,1/3 de taza de queso parmesano, rallado"," Llevar a hervir una olla grande de agua con sal. Cuando el agua hierva, añadir la pasta y dejar cocinar por 11 minutos, aproximadamente, o hasta que estén al dente. 
Mientras la pasta se está cocinando, calentar 2 cucharadas de aceite en una sartén grande a fuego medio y agregar los champiñones y portobellos. Sazonar con sal y pimienta y cocinar, moviendo ocasionalmente, hasta que estén suaves. Retirarlos a un plato.
Agregar el aceite de oliva restante a la sartén junto con la cebolla. Cocinar a fuego fuerte por 2 minutos; luego bajar el fuego y seguir cocinando hasta que la cebolla esté ligeramente dorada y tierna. 
Agregar el jerez y aumentar nuevamente el fuego, moviendo hasta que éste se haya evaporado, aproximadamente 40 segundos. Agregar, luego, el caldo y hervir 2 minutos. Regresar los hongos a la sartén, bajar la temperatura y cocinar con el caldo 2 minutos más. Agregar el tomillo, tabasco y rectificar la sazón.
Escurrir la pasta y regresarla a la olla. Agregar los champiñones y su jugo encima de la pasta y mezclar.
Servir inmediatamente en platos hondos. Espolvorear encima con queso parmesano rallado.

Tiempo de Preparación: 20 minutos
",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Alto en fibra",,,,original
209,CEBOLLAS FESTIVAS,https://www.yanuq.com/,"4 tazas de cebolla blanca, cortada en tajadas delgadas,5 cucharadas de mantequilla,2 huevos,1 taza de crema de leche espesa,Sal,Pimienta,2/3 de queso parmesano rallado,Nuez moscada,Paprika o pimentón,Perejil, finamente picado"," Derretir la mantequilla en una sartén u olla grande. Agregar las cebollas y cocinar a fuego medio, moviendo ocasionalmente, hasta que se cocinen y estén transparentes. Sazonar con sal y pimienta. No deben dorarse. Una vez cocidas las cebollas, escurrirlas y pasarlas a un molde refractario ligeramente engrasado.
Batir los huevos hasta que estén bien mezclados y espumosos y agregarles la crema. Mezclar y sazonar con sal, pimienta y nuez moscada. Verter esta mezcla sobre las cebollas y espolvorear con queso parmesano rallado. Llevar al horno precalentado a 425°F (220°C) por 20 minutos aproximadamente.
Retirar del horno y decorar con paprika y perejil, finamente picado.

Otros platos con cebollas:
Cebollas a la crema con perejil
Cebollas rellenas con queso ricotta
Cebollitas Glaseadas
",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Alto en grasas",,,,original
227,PESCADO AL HORNO CON CEBOLLAS,https://www.yanuq.com/,"10 filetes de pescado (lenguado o similar), de tamaño mediano,2.5 k (5 lb 8 oz) de cebolla blanca, aproximadamente, cortadas en juliana,3 cucharadas de mantequilla, para cocinar la cebolla,1 cucharada de aceite,½ taza de crema de leche,Queso parmesano, rallado, la cantidad necesaria,Sal,Pimienta"," Calentar la mantequilla con el aceite y agregar las cebollas. Dejar cocinar, tapadas hasta que estén transparentes, no doradas.
Engrasar un molde refractario, rectangular y esparcir las cebollas en el fondo.
Colocar encima los filetes de pescado, previamente sazonados con sal y pimienta.
Espolvorear el queso parmesano encima y rociar con la crema de leche.
Llevar al horno precalentado a 350ºF (180ºC) por 15 minutos aproximadamente.

",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Alto en grasas reducidas o con menos grasas",,,,original
237,FILETE DE PESCADO CON VERDURAS,https://www.yanuq.com/,"1 taza de poro, parte blanca cortada en juliana delgada,1 taza de zanahoria, pelada y cortada en juliana delgada,1 taza de holantao o arveja china, cortado en juliana,1 taza de hojas de espinaca, cortada en juliana,1 cucharada de culantro picado,Sal,Pimienta,4 filetes de pescado, limpio, sin espinas,1 naranja, cortada en gajos, sin hollejo ni membrana,1 cucharada de vino blanco, seco"," Mezclar el poro con la zanahoria, la espinaca y el kolantao.
Colocar las verduras cortadas en el fondo de un molde para microondas ligeramente engrasado. Sazonar con sal y pimienta y espolvorear encima el culantro picado.
Acomodar encima los filetes de pescado sazonados y cubrir con los gajos de naranja.
Rociar con el vino blanco. Tapar el molde con papel manteca o film plástico.
Llevar al horno microondas por 10 minutos en temperatura alta (HI). Retirar del horno y servir.
4 personas
Tiempo de Preparación: 20 minutos


 Maridaje
  


Gran Tarapacá Sauvignon Blanc




",Peru,,,,,,,,,,"Bajo en calorías, Alto en grasas, Bueno fuente de fibra",,,,original
243,ANTICUCHOS DE ATUN,https://www.yanuq.com/,"500 g (1 lb 2 oz) atún fresco,3 a 4 tallos de cebolla china, en trozos de 4 cm (2 pulgadas), parte blanca y verde,Aceite de oliva (cantidad necesaria),¾ taza de azúcar,3 cucharadas de vinagre,1 cucharada de sillao,2 cucharadas de caldo de carne o de pollo,1 cucharadita de sal,½ cucharadita de pimienta molida,Palitos para ensartar anticuchos (pinchos de bambú)"," Limpiar el atún y retirar las partes oscuras. Cortar en trozos de 4 x 4 cm (2 x 2 pulgadas).
Ensartar en un palito de anticucho (brocheta) 2 a 3 trozos de atún, intercalando con trozos de cebolla china.Pincelar con abundante aceite de oliva.
Colocar en una olla, el azúcar y el vinagre. Llevar a hervir a fuego moderado hasta que acaramele. Agregar el sillao, caldo, sal y pimienta.
Cocinar los anticuchos a la parrilla o en una plancha parrillera 1 a 2 minutos por lado o hasta que estén dorados. Pincelar con la salsa frecuentemente. La carne debe quedar casi cruda en el centro.

Tiempo de Preparación: 30 minutos

5 palitos de anticucho

",Peru,,,,,,,,,,"Alto en grasas, Alto en sodio, Sin azúcar añadida",,,,original
260,FILETE DE JAMON GLASEADO,https://www.yanuq.com/,"4 filetes de jamón inglés de 1 ½ cm a 2 cm (3/4 a 1 pulgada) de espesor,1 cucharadita de aceite,1/3 de taza de mermelada de naranja,3 cucharadas de agua,2 cucharadas de mantequilla,1 ½ cucharada de mostaza,1 cucharadita de azúcar,Pizca de jengibre en polvo o 1 cucharadita de kion finamente picado"," Calentar el aceite en una sartén y cocinar los filetes por ambos lados hasta que estén ligeramente dorados. Retirar y reservar tapados para que no se enfríen.
Mezclar la mermelada con el agua, la mantequilla, la mostaza, el azúcar y el jengibre o kion en una olla y llevar a hervir. Rectificar la sazón.
Regresar el jamón a la sartén y verter la mezcla de la mermelada encima de los filetes. Tapar la sartén y cocinar por 2 minutos o hasta que esté caliente.
Servir y acompañar con una ensalada.
Tiempo de Preparación: 20 minutos
",Peru,,,,,,,,,,"Bajo en calorías, Sin grasa, Sin grasas trans",,,,original
